inning,inning_side,bases,outs,-4,-3,-2,-1,0,1,2,3,4
6,bottom,111,1,3,3.8,4.2,4,3.3,2.2,1.4,0.8,0.5
6,bottom,000,2,0.3,0.4,0.6,0.8,0.7,0.5,0.3,0.2,0.1
6,bottom,100,2,0.6,0.9,1.2,1.5,1.3,0.8,0.5,0.3,0.2
6,bottom,010,2,0.8,1.2,1.6,2,1.8,1.2,0.8,0.5,0.3
6,bottom,001,2,0.9,1.3,1.9,2.4,2.2,1.4,0.9,0.6,0.3
6,bottom,110,2,1.4,2,2.6,2.9,2.5,1.6,1,0.6,0.4
6,bottom,101,2,1.4,2.1,2.7,3.1,2.7,1.8,1.1,0.7,0.4
6,bottom,011,2,1.6,2.4,3.1,3.5,2.9,1.9,1.2,0.7,0.4
6,bottom,111,2,2.7,3.7,4.5,4.9,4,2.6,1.7,1,0.6
7,top,000,0,0.2,0.4,0.7,1,1.5,1.7,1.4,1,0.6
7,top,100,0,0.4,0.6,1,1.6,2.4,2.7,2.3,1.7,1.2
7,top,010,0,0.3,0.5,0.8,1.2,1.9,2.3,2,1.5,1.1
7,top,001,0,0.2,0.4,0.6,1,1.5,2,1.9,1.5,1.1
7,top,110,0,0.4,0.7,1.1,1.8,2.7,3.4,3.2,2.6,1.9
7,top,101,0,0.3,0.5,0.8,1.3,2,2.8,3,2.5,1.8
7,top,011,0,0.3,0.5,0.8,1.3,2,2.5,2.6,2.3,1.7
7,top,111,0,0.4,0.6,1.1,1.7,2.6,3.5,3.9,3.6,2.8
7,top,000,1,0.2,0.3,0.5,0.8,1.2,1.3,1,0.6,0.4
7,top,100,1,0.3,0.5,0.9,1.4,2,2.3,1.8,1.3,0.8
7,top,010,1,0.3,0.6,0.9,1.4,2.1,2.3,1.8,1.3,0.8
7,top,001,1,0.4,0.7,1.1,1.6,2.4,2.5,1.8,1.3,0.8
7,top,110,1,0.5,0.8,1.3,2.1,3.2,3.6,3.1,2.3,1.6
7,top,101,1,0.5,0.8,1.3,2,3.1,3.3,2.9,2.2,1.5
7,top,011,1,0.4,0.7,1.1,1.6,2.5,2.8,2.7,2.1,1.4
7,top,111,1,0.6,1,1.6,2.6,3.9,4.5,4.4,3.6,2.6
